latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Kuala_Lumpur,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2010-11-15,8.90,25.6
2010-11-16,29.90,25.2
2010-11-17,6.90,24.9
2010-11-18,1.70,25.7
2010-11-19,2.60,25.7
2010-11-20,38.30,25.2
2010-11-21,0.10,25.8
2010-11-22,2.70,26.0
2010-11-23,7.00,25.7
2010-11-24,1.00,26.3
2010-11-25,9.90,25.5
2010-11-26,18.70,24.9
2010-11-27,11.70,25.2
2010-11-28,16.00,25.2
2010-11-29,20.40,25.5
2010-11-30,24.30,25.3
2010-12-01,6.60,25.9
2010-12-02,1.70,26.3
2010-12-03,0.30,26.3
2010-12-04,20.90,25.0
2010-12-05,0.70,25.2
2010-12-06,3.60,25.6
2010-12-07,3.40,25.8
2010-12-08,3.40,25.3
2010-12-09,11.50,24.6
2010-12-10,1.30,25.3
2010-12-11,1.40,25.5
2010-12-12,0.70,25.9
2010-12-13,3.60,25.6
2010-12-14,4.50,25.4
2010-12-15,2.10,25.4
2010-12-16,8.70,25.0
2010-12-17,5.10,24.8
2010-12-18,7.90,24.6
2010-12-19,4.10,24.8
2010-12-20,9.30,24.3
2010-12-21,14.20,24.9
2010-12-22,7.60,24.8
2010-12-23,3.10,25.4
2010-12-24,0.70,25.4
2010-12-25,3.10,24.9
2010-12-26,11.60,25.3
2010-12-27,1.70,24.7
2010-12-28,1.20,25.0
2010-12-29,5.90,24.5
2010-12-30,28.90,24.3
2010-12-31,1.90,24.9
2011-01-01,7.00,25.1
2011-01-02,2.30,25.4
2011-01-03,1.30,25.5
2011-01-04,2.40,25.8
2011-01-05,0.60,25.8
2011-01-06,11.60,25.2
2011-01-07,13.00,24.2
2011-01-08,10.90,24.9
2011-01-09,2.70,24.9
2011-01-10,5.00,24.5
2011-01-11,6.40,24.3
2011-01-12,1.30,25.5
2011-01-13,12.70,24.9
2011-01-14,5.00,24.9
2011-01-15,0.70,25.3
2011-01-16,2.40,24.8
2011-01-17,2.30,24.6
2011-01-18,1.20,24.9
2011-01-19,0.10,24.7
2011-01-20,0.70,24.5
2011-01-21,1.00,25.1
2011-01-22,0.60,25.4
2011-01-23,8.60,25.1
2011-01-24,9.90,25.1
2011-01-25,32.20,24.8
2011-01-26,9.20,24.4
2011-01-27,24.30,25.0
2011-01-28,14.30,25.0
2011-01-29,20.40,24.5
2011-01-30,34.50,24.0
2011-01-31,39.50,23.8
2011-02-01,2.90,25.0
2011-02-02,2.70,25.2
2011-02-03,1.30,25.0
2011-02-04,0.10,25.2
2011-02-05,0.20,25.5
2011-02-06,0.00,25.9
2011-02-07,1.60,25.1
2011-02-08,0.40,25.3
2011-02-09,1.00,25.7
2011-02-10,0.00,26.3
2011-02-11,0.50,26.2
2011-02-12,3.40,25.9
2011-02-13,3.40,25.7
2011-02-14,3.70,25.9
2011-02-15,3.80,25.5
2011-02-16,7.40,25.3
2011-02-17,2.00,25.8
2011-02-18,3.80,26.0
2011-02-19,3.50,25.7
2011-02-20,0.70,25.4
2011-02-21,0.30,26.5
2011-02-22,0.30,26.0
2011-02-23,3.20,26.1
2011-02-24,7.40,25.3
2011-02-25,1.80,25.5
2011-02-26,1.20,25.8
